Cache-non-adaptive  WORST-CASE but replay,15,10000,2.36312e+06,26107707392,30606307328,56714014720
Cache-adaptive  WORST-CASE memory,15,10000,2.10763e+06,13116846080,8697864192,21814710272
Cache-adaptive  CONSTANT memory,15,10000,2.32251e+06,15407837184,10690117632,26097954816
Cache-non-adaptive  CONSTANT memory,15,10000,3.16504e+06,31535693824,38360514560,69896208384
Cache-non-adaptive  WORST-CASE memory,15,10000,2.96926e+06,42242748416,45731233792,87973982208
Cache-non-adaptive  WORST-CASE but replay,15,10000,2.39582e+06,26281246720,30506766336,56788013056
Cache-adaptive  WORST-CASE memory,15,10000,2.10667e+06,12978667520,8546754560,21525422080
Cache-adaptive  CONSTANT memory,15,10000,2.59958e+06,15377838080,10726952960,26104791040
Cache-non-adaptive  CONSTANT memory,15,10000,2.55436e+06,30962774016,37832093696,68794867712
Cache-non-adaptive  WORST-CASE memory,15,10000,2.9041e+06,39687307264,43779198976,83466506240
Cache-non-adaptive  WORST-CASE but replay,15,10000,2.38618e+06,26512601088,30770417664,57283018752
Cache-adaptive  WORST-CASE memory,15,10000,1.98616e+06,13110398976,8588947456,21699346432
